open_time,open_price,high_price,low_price,close_price,close_volume,close_time,quote_asset_volume,number_of_trades,taker_buy_quote_volume,taker_buy_base_volume,ignore
1678906800000,1647.14,1655.69,1634.7,1648.19,336055.407,1678910399999,552528169.34381,262116,171708.309,282356766.43939,0.0
1678910400000,1648.19,1653.6,1638.0,1646.75,148026.584,1678913999999,243571544.30415,144710,71021.779,116865070.6886,0.0
1678914000000,1646.75,1654.86,1645.77,1653.75,85193.105,1678917599999,140638444.55777,92910,43474.13,71772927.6424,0.0
1678917600000,1653.76,1664.42,1640.3,1647.89,195890.251,1678921199999,324152215.9766,158599,93090.613,154055115.81977,0.0
1678921200000,1647.89,1654.88,1644.08,1649.81,125176.326,1678924799999,206341375.77149,125761,63494.925,104673499.32377,0.0
1678924800000,1649.82,1659.49,1638.36,1639.95,218618.374,1678928399999,360434905.2906,179803,105507.848,173955853.19166,0.0
1678928400000,1639.94,1648.4,1632.0,1645.3,186806.049,1678931999999,306703584.72234,168219,94636.766,155404498.95052,0.0
1678932000000,1645.29,1654.51,1644.38,1649.75,88733.019,1678935599999,146412853.17218,96812,42895.996,70775529.88242,0.0
1678935600000,1649.76,1650.86,1641.03,1645.67,97807.508,1678939199999,160860651.85951,94824,49436.053,81300835.27412,0.0
1678939200000,1645.67,1647.98,1636.3,1640.29,109077.855,1678942799999,179082647.28533,100365,54662.854,89742454.56965,0.0
1678942800000,1640.29,1648.92,1636.55,1643.98,130563.849,1678946399999,214600704.42589,104973,64775.631,106473892.27089,0.0
1678946400000,1643.98,1654.18,1643.34,1652.22,138990.159,1678949999999,229176458.56019,120751,73278.578,120839168.57683,0.0
1678950000000,1652.23,1659.76,1648.59,1654.84,171846.497,1678953599999,284331763.2225,128549,85754.755,141903069.62432,0.0
1678953600000,1654.84,1656.47,1650.04,1652.82,92832.782,1678957199999,153446995.24367,83404,44795.652,74044495.31945,0.0
1678957200000,1652.82,1665.67,1638.0,1652.48,304417.366,1678960799999,502486988.24479,209875,152440.285,251690100.51879,0.0
1678960800000,1652.48,1670.9,1645.22,1663.7,339533.538,1678964399999,563210402.24146,223315,179872.045,298432521.15024,0.0
1678964400000,1663.71,1664.45,1656.03,1659.72,166448.331,1678967999999,276255926.23657,118261,79654.403,132199339.81944,0.0
1678968000000,1659.72,1662.15,1645.0,1649.79,325238.862,1678971599999,537800797.87764,205524,159667.609,263987621.96801,0.0
1678971600000,1649.8,1658.58,1634.27,1656.36,381207.198,1678975199999,627719420.32635,259036,201880.535,332519784.69674,0.0
1678975200000,1656.37,1665.0,1644.81,1658.46,287459.193,1678978799999,475979902.31986,211760,147303.763,243940333.23571,0.0
1678978800000,1658.46,1665.98,1651.38,1662.11,208145.147,1678982399999,345058806.76256,169167,101095.381,167616562.57877,0.0
